_id	dim1	dim2	dim3	dim4	dim5	lemma	newspaper	country	formality	_cws.model	_ctxt.model
fluit/noun/algemeen_dagblad_19990120_95/604	-0.182484018256092	0.22047681127674	-0.0387563161937534	0.214127034852282	0.0805816594285504	fluit	algemeen_dagblad	Netherlands	popular	harp/noun;	<small>ze met het Nationaal Jeugdorkest het Concert voor harp en</small> ze met het Nationaal Jeugdorkest het Concert voor <u>harp</u><sup>7.79</sup> en <span class='target'>fluit</span> van Mozart . <small>van Mozart .</small>
fluit/noun/algemeen_dagblad_19990206_97/220	-0.121016850558734	0.0510449253156839	-0.0733075528179751	0.0661899610478996	0.00678284080631484	fluit	algemeen_dagblad	Netherlands	popular	combinatie/noun;speel/verb;viool/noun	<small>: een geraffineerde combinatie van Ierse folk - Andrea speelt</small> : een geraffineerde <u>combinatie</u><sup>2.339</sup> van Ierse folk - Andrea <u>speelt</u><sup>2.048</sup> <span class='target'>fluit</span> , en haar zus Sharon <u>viool</u><sup>6.254</sup> - en gladde popmuziek <small>, en haar zus Sharon viool - en gladde popmuziek</small>
fluit/noun/algemeen_dagblad_19990416_134/349	0.0893698369510439	0.0598275221028186	-0.0821074672762167	0.165145554607654	-0.0624149626265088	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;	<small>Om 6 over 3 blies Ray Lewis gisteren op zijn</small> Om 6 over 3 <u>blies</u><sup>5.115</sup> Ray Lewis gisteren op zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19990416_134/84	0.0893698369510439	0.0598275221028186	-0.0821074672762168	0.165145554607654	-0.0624149626265088	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;	<small>Om 6 over 3 blies referee Ray Lewis op zijn</small> Om 6 over 3 <u>blies</u><sup>5.115</sup> referee Ray Lewis op zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19990422_89/162	-0.229694322659932	0.159684111243076	-0.0802519922082252	0.243020513844922	0.0320304097563715	fluit	algemeen_dagblad	Netherlands	popular	;klarinet/noun	<small>en files , pêle-mêle is met de snelle loopjes van</small> en files , pêle-mêle is met de snelle loopjes van <span class='target'>fluit</span> en <u>klarinet</u><sup>7.839</sup> verwant aan het idioom van Dutilleux ' . <small>en klarinet verwant aan het idioom van Dutilleux ' .</small>
fluit/noun/algemeen_dagblad_19990507_147/141	-0.132438215296621	0.0661903967463435	-0.0738251255018731	-0.0177199496333689	0.0442936411816564	fluit	algemeen_dagblad	Netherlands	popular	combinatie/noun;elektronica/noun	<small>Die combinatie van authentieke</small> Die <u>combinatie</u><sup>2.339</sup> van authentieke <span class='target'>fluit</span> en snaar- en percussie-instrumenten met high tech <u>elektronica</u><sup>4.325</sup> maken One <small>en snaar- en percussie-instrumenten met high tech elektronica maken One</small>
fluit/noun/algemeen_dagblad_19990510_157/64	-0.188254586474145	0.170056986429954	-0.0587609331953924	0.154089455461301	0.0763192712486344	fluit	algemeen_dagblad	Netherlands	popular	;harp/noun;orkest/noun	<small>met een licht werk , Mozarts Concert in C voor</small> met een licht werk , Mozarts Concert in C voor <span class='target'>fluit</span> , <u>harp</u><sup>7.79</sup> en <u>orkest</u><sup>3.667</sup> . <small>, harp en orkest .</small>
fluit/noun/algemeen_dagblad_19990527_137/696	-0.164414660127241	0.108413652572996	-0.139454297329812	0.164751261975607	0.0152477307879296	fluit	algemeen_dagblad	Netherlands	popular	;saxofoon/noun;speel/verb	<small>Als kind leerde Jimi Tenor</small> Als kind leerde Jimi Tenor <span class='target'>fluit</span> en <u>saxofoon</u><sup>6.684</sup> <u>spelen</u><sup>2.048</sup> . <small>en saxofoon spelen .</small>
fluit/noun/algemeen_dagblad_19990531_105/178	0.154591361060053	0.0796105933162215	0.171775380548792	0.0794307733569985	-0.122683511973734	fluit	algemeen_dagblad	Netherlands	popular	;hand/noun	<small>Want Mouidi , die op haar 17e jaar de</small> Want Mouidi , die op haar 17e jaar de <span class='target'>fluit</span> ter <u>hand</u><sup>1.482</sup> nam , heeft in Zwitserland al meer records <small>ter hand nam , heeft in Zwitserland al meer records</small>
fluit/noun/algemeen_dagblad_19990601_125/176	-0.21415049923567	0.0863800096920354	-0.0989343426335733	0.141415026217736	0.0295880050858444	fluit	algemeen_dagblad	Netherlands	popular	sonate/noun;hobo/noun;klarinet/noun;trio/noun	<small>Het programmaboekje vermeldt de sonates voor</small> Het programmaboekje vermeldt de <u>sonates</u><sup>5.807</sup> voor <span class='target'>fluit</span> , <u>hobo</u><sup>8.251</sup> en <u>klarinet</u><sup>7.839</sup> , het <u>trio</u><sup>3.313</sup> voor <u>hobo</u><sup>8.251</sup> , <small>, hobo en klarinet , het trio voor hobo ,</small>
fluit/noun/algemeen_dagblad_19990614_57/174	0.0566849732834983	0.0125163511011981	-0.0839695986732196	0.114533732674883	-0.0949940873617853	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;scheidsrechter/noun;	<small>half drie blies scheidsrechter Gerritsen voor het eerst op zijn</small> half drie <u>blies</u><sup>5.115</sup> <u>scheidsrechter</u><sup>3.722</sup> Gerritsen voor het eerst op zijn <span class='target'>fluit</span> ; krap een half uur en 34 fluitsignalen later was <small>; krap een half uur en 34 fluitsignalen later was</small>
fluit/noun/algemeen_dagblad_19990707_124/189	0.089369836951044	0.0598275221028186	-0.0821074672762167	0.165145554607654	-0.0624149626265088	fluit	algemeen_dagblad	Netherlands	popular	;blaas/verb	<small>ze ánders dit moment uitkiezen om zo viriel op hun</small> ze ánders dit moment uitkiezen om zo viriel op hun <span class='target'>fluit</span> te <u>blazen</u><sup>5.115</sup> . <small>te blazen .</small>
fluit/noun/algemeen_dagblad_19990812_58/158	-0.146546314209242	0.156654676390569	-0.0219381531285393	0.203517247587894	0.0103043481554041	fluit	algemeen_dagblad	Netherlands	popular	trompet/noun;	<small>klankkleur en heeft doorgaans een instrumentennaam ( bijvoorbeeld trompet of</small> klankkleur en heeft doorgaans een instrumentennaam ( bijvoorbeeld <u>trompet</u><sup>6.344</sup> of <span class='target'>fluit</span> ) . <small>) .</small>
fluit/noun/algemeen_dagblad_19990827_105/330	-0.130775483069612	0.00870013645447739	-0.266082028118547	0.177031607637319	-0.0453465928656801	fluit	algemeen_dagblad	Netherlands	popular	speel/verb;	<small>Als jong meisje uit het Twentse Wierden speelde zij</small> Als jong meisje uit het Twentse Wierden <u>speelde</u><sup>2.048</sup> zij <span class='target'>fluit</span> in het plaatselijke harmonie-orkest . <small>in het plaatselijke harmonie-orkest .</small>
fluit/noun/algemeen_dagblad_19990827_105/631	-0.178583872856613	0.0438394593333831	-0.026986753440411	0.187928702525329	-0.0139123696044673	fluit	algemeen_dagblad	Netherlands	popular	zing/verb;	<small>Omdat het zingen me makkelijker afging dan de</small> Omdat het <u>zingen</u><sup>2.204</sup> me makkelijker afging dan de <span class='target'>fluit</span> , denk ik . " <small>, denk ik . "</small>
fluit/noun/algemeen_dagblad_19990827_106/321	-0.190571398526956	0.0595360905586082	-0.0647913241124549	0.0750650493893298	0.0417186481065425	fluit	algemeen_dagblad	Netherlands	popular	studeer/verb;piano/noun;studeer/verb;muziek/noun	<small>een blauwe maandag rechten studeren , de sociale academie en</small> een blauwe maandag rechten <u>studeren</u><sup>2.857</sup> , de sociale academie en <span class='target'>fluit</span> en <u>piano</u><sup>5.575</sup> <u>studeren</u><sup>2.857</sup> , ging hij de <u>muziek</u><sup>1.743</sup> in . <small>en piano studeren , ging hij de muziek in .</small>
fluit/noun/algemeen_dagblad_19991030_189/224	-0.0617218607246166	0.0924245031899542	-1.45307763137247e-05	0.0651778688637391	0.0229714744451279	fluit	algemeen_dagblad	Netherlands	popular	klank/noun;trommel/noun;	<small>Mysterieuze en indringende klanken van trommels en</small> Mysterieuze en indringende <u>klanken</u><sup>3.638</sup> van <u>trommels</u><sup>6.711</sup> en <span class='target'>fluiten</span> overstemmen het hectische lawaai van het vertrek . <small>overstemmen het hectische lawaai van het vertrek .</small>
fluit/noun/algemeen_dagblad_19991030_189/711	-0.0617218607246166	0.0924245031899542	-1.45307763137247e-05	0.0651778688637391	0.0229714744451279	fluit	algemeen_dagblad	Netherlands	popular	klank/noun;trommel/noun;	<small>De zich herhalende klanken van trommels en</small> De zich herhalende <u>klanken</u><sup>3.638</sup> van <u>trommels</u><sup>6.711</sup> en <span class='target'>fluiten</span> geven hun kracht om de heilige plek te bereiken . <small>geven hun kracht om de heilige plek te bereiken .</small>
fluit/noun/algemeen_dagblad_19991113_88/227	0.0159642980253352	-0.0184251394398938	-0.145278939363001	0.14401960587063	-0.322651050491286	fluit	algemeen_dagblad	Netherlands	popular	scheidsrechter/noun;	<small>meestal niet eens de actie gezien waar de scheidsrechter voor</small> meestal niet eens de actie gezien waar de <u>scheidsrechter</u><sup>3.722</sup> voor <span class='target'>fluit</span> , maar wel de (re)actie van trainer en spelers . <small>, maar wel de (re)actie van trainer en spelers .</small>
fluit/noun/algemeen_dagblad_19991118_54/48	-0.170155430052854	0.19206152134174	-0.0827866947709594	0.182358334322127	0.0669924256417542	fluit	algemeen_dagblad	Netherlands	popular	concert/noun;harp/noun	<small>Verder ook Mozarts concert voor</small> Verder ook Mozarts <u>concert</u><sup>2.2</sup> voor <span class='target'>fluit</span> en <u>harp</u><sup>7.79</sup> en Les éléments uit 1733 van Rebel . <small>en harp en Les éléments uit 1733 van Rebel .</small>
fluit/noun/algemeen_dagblad_19991127_52/876	-0.207912296121511	0.0539886765579824	-0.128463732590087	0.0894409605614667	0.0684160048072477	fluit	algemeen_dagblad	Netherlands	popular	concert/noun;muzikant/noun;	<small>Vóór een concert stemt een muzikant zijn</small> Vóór een <u>concert</u><sup>2.2</sup> stemt een <u>muzikant</u><sup>2.664</sup> zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19991204_139/1295	-0.188499594178806	-0.017240869215643	-0.0490928149021634	0.138738854149337	-0.0470977788900924	fluit	algemeen_dagblad	Netherlands	popular	hoor/verb;stem/noun;	<small>Ik hoor stemmen en</small> Ik <u>hoor</u><sup>1.375</sup> <u>stemmen</u><sup>1.66</sup> en <span class='target'>fluiten</span> en een gestaag geroezemoes dat ritmisch ondersteund wordt door een <small>en een gestaag geroezemoes dat ritmisch ondersteund wordt door een</small>
fluit/noun/algemeen_dagblad_19991228_15/305	-0.207912296121511	0.0539886765579823	-0.128463732590087	0.0894409605614667	0.0684160048072476	fluit	algemeen_dagblad	Netherlands	popular	concert/noun;muzikant/noun;	<small>8 Vóór een concert stemt een muzikant zijn</small> 8 Vóór een <u>concert</u><sup>2.2</sup> stemt een <u>muzikant</u><sup>2.664</sup> zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_20000307_54/164	-0.178583872856613	0.0438394593333832	-0.026986753440411	0.187928702525329	-0.0139123696044674	fluit	algemeen_dagblad	Netherlands	popular	zing/verb;	<small>In Strands zingt een</small> In Strands <u>zingt</u><sup>2.204</sup> een <span class='target'>fluit</span> als een onvervalste veldleeuwerik . <small>als een onvervalste veldleeuwerik .</small>
