_id	model.x	model.y	lemma	newspaper	country	formality	_cws.model	_ctxt.model
fluit/noun/algemeen_dagblad_19990120_95/604	-60.4014887629336	102.744662806569	fluit	algemeen_dagblad	Netherlands	popular	harp/noun;	<small>ze met het Nationaal Jeugdorkest het Concert voor harp en</small> ze met het Nationaal Jeugdorkest het Concert voor <u>harp</u><sup>7.79</sup> en <span class='target'>fluit</span> van Mozart . <small>van Mozart .</small>
fluit/noun/algemeen_dagblad_19990206_97/220	-54.4704645463481	52.902198386102	fluit	algemeen_dagblad	Netherlands	popular	combinatie/noun;speel/verb;viool/noun	<small>: een geraffineerde combinatie van Ierse folk - Andrea speelt</small> : een geraffineerde <u>combinatie</u><sup>2.339</sup> van Ierse folk - Andrea <u>speelt</u><sup>2.048</sup> <span class='target'>fluit</span> , en haar zus Sharon <u>viool</u><sup>6.254</sup> - en gladde popmuziek <small>, en haar zus Sharon viool - en gladde popmuziek</small>
fluit/noun/algemeen_dagblad_19990416_134/349	-169.326665644186	73.1022515045087	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;	<small>Om 6 over 3 blies Ray Lewis gisteren op zijn</small> Om 6 over 3 <u>blies</u><sup>5.115</sup> Ray Lewis gisteren op zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19990416_134/84	-167.683453007239	71.5929850644994	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;	<small>Om 6 over 3 blies referee Ray Lewis op zijn</small> Om 6 over 3 <u>blies</u><sup>5.115</sup> referee Ray Lewis op zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19990422_89/162	-75.9999610222131	92.0848042343598	fluit	algemeen_dagblad	Netherlands	popular	;klarinet/noun	<small>en files , pêle-mêle is met de snelle loopjes van</small> en files , pêle-mêle is met de snelle loopjes van <span class='target'>fluit</span> en <u>klarinet</u><sup>7.839</sup> verwant aan het idioom van Dutilleux ' . <small>en klarinet verwant aan het idioom van Dutilleux ' .</small>
fluit/noun/algemeen_dagblad_19990507_147/141	-24.4896411686295	61.1943779359154	fluit	algemeen_dagblad	Netherlands	popular	combinatie/noun;elektronica/noun	<small>Die combinatie van authentieke</small> Die <u>combinatie</u><sup>2.339</sup> van authentieke <span class='target'>fluit</span> en snaar- en percussie-instrumenten met high tech <u>elektronica</u><sup>4.325</sup> maken One <small>en snaar- en percussie-instrumenten met high tech elektronica maken One</small>
fluit/noun/algemeen_dagblad_19990510_157/64	-62.7146431241551	100.851616543782	fluit	algemeen_dagblad	Netherlands	popular	;harp/noun;orkest/noun	<small>met een licht werk , Mozarts Concert in C voor</small> met een licht werk , Mozarts Concert in C voor <span class='target'>fluit</span> , <u>harp</u><sup>7.79</sup> en <u>orkest</u><sup>3.667</sup> . <small>, harp en orkest .</small>
fluit/noun/algemeen_dagblad_19990527_137/696	-90.1042968120561	89.8717173902799	fluit	algemeen_dagblad	Netherlands	popular	;saxofoon/noun;speel/verb	<small>Als kind leerde Jimi Tenor</small> Als kind leerde Jimi Tenor <span class='target'>fluit</span> en <u>saxofoon</u><sup>6.684</sup> <u>spelen</u><sup>2.048</sup> . <small>en saxofoon spelen .</small>
fluit/noun/algemeen_dagblad_19990531_105/178	-5.11901396639523	-143.975533079962	fluit	algemeen_dagblad	Netherlands	popular	;hand/noun	<small>Want Mouidi , die op haar 17e jaar de</small> Want Mouidi , die op haar 17e jaar de <span class='target'>fluit</span> ter <u>hand</u><sup>1.482</sup> nam , heeft in Zwitserland al meer records <small>ter hand nam , heeft in Zwitserland al meer records</small>
fluit/noun/algemeen_dagblad_19990601_125/176	-86.0127845939088	83.0049939923997	fluit	algemeen_dagblad	Netherlands	popular	sonate/noun;hobo/noun;klarinet/noun;trio/noun	<small>Het programmaboekje vermeldt de sonates voor</small> Het programmaboekje vermeldt de <u>sonates</u><sup>5.807</sup> voor <span class='target'>fluit</span> , <u>hobo</u><sup>8.251</sup> en <u>klarinet</u><sup>7.839</sup> , het <u>trio</u><sup>3.313</sup> voor <u>hobo</u><sup>8.251</sup> , <small>, hobo en klarinet , het trio voor hobo ,</small>
fluit/noun/algemeen_dagblad_19990614_57/174	-165.522279754615	69.8339449796558	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;scheidsrechter/noun;	<small>half drie blies scheidsrechter Gerritsen voor het eerst op zijn</small> half drie <u>blies</u><sup>5.115</sup> <u>scheidsrechter</u><sup>3.722</sup> Gerritsen voor het eerst op zijn <span class='target'>fluit</span> ; krap een half uur en 34 fluitsignalen later was <small>; krap een half uur en 34 fluitsignalen later was</small>
fluit/noun/algemeen_dagblad_19990707_124/189	-169.494788042609	72.635439622591	fluit	algemeen_dagblad	Netherlands	popular	;blaas/verb	<small>ze ánders dit moment uitkiezen om zo viriel op hun</small> ze ánders dit moment uitkiezen om zo viriel op hun <span class='target'>fluit</span> te <u>blazen</u><sup>5.115</sup> . <small>te blazen .</small>
fluit/noun/algemeen_dagblad_19990812_58/158	-39.4556604249776	98.2905920717727	fluit	algemeen_dagblad	Netherlands	popular	trompet/noun;	<small>klankkleur en heeft doorgaans een instrumentennaam ( bijvoorbeeld trompet of</small> klankkleur en heeft doorgaans een instrumentennaam ( bijvoorbeeld <u>trompet</u><sup>6.344</sup> of <span class='target'>fluit</span> ) . <small>) .</small>
fluit/noun/algemeen_dagblad_19990827_105/330	87.7404625555149	-160.382562719179	fluit	algemeen_dagblad	Netherlands	popular	speel/verb;	<small>Als jong meisje uit het Twentse Wierden speelde zij</small> Als jong meisje uit het Twentse Wierden <u>speelde</u><sup>2.048</sup> zij <span class='target'>fluit</span> in het plaatselijke harmonie-orkest . <small>in het plaatselijke harmonie-orkest .</small>
fluit/noun/algemeen_dagblad_19990827_105/631	77.8875441009403	-152.891576109982	fluit	algemeen_dagblad	Netherlands	popular	zing/verb;	<small>Omdat het zingen me makkelijker afging dan de</small> Omdat het <u>zingen</u><sup>2.204</sup> me makkelijker afging dan de <span class='target'>fluit</span> , denk ik . " <small>, denk ik . "</small>
fluit/noun/algemeen_dagblad_19990827_106/321	-21.4294516373265	80.9855077029601	fluit	algemeen_dagblad	Netherlands	popular	studeer/verb;piano/noun;studeer/verb;muziek/noun	<small>een blauwe maandag rechten studeren , de sociale academie en</small> een blauwe maandag rechten <u>studeren</u><sup>2.857</sup> , de sociale academie en <span class='target'>fluit</span> en <u>piano</u><sup>5.575</sup> <u>studeren</u><sup>2.857</sup> , ging hij de <u>muziek</u><sup>1.743</sup> in . <small>en piano studeren , ging hij de muziek in .</small>
fluit/noun/algemeen_dagblad_19991030_189/224	-98.7111623681909	64.3814445231283	fluit	algemeen_dagblad	Netherlands	popular	klank/noun;trommel/noun;	<small>Mysterieuze en indringende klanken van trommels en</small> Mysterieuze en indringende <u>klanken</u><sup>3.638</sup> van <u>trommels</u><sup>6.711</sup> en <span class='target'>fluiten</span> overstemmen het hectische lawaai van het vertrek . <small>overstemmen het hectische lawaai van het vertrek .</small>
fluit/noun/algemeen_dagblad_19991030_189/711	-98.7111558657669	64.381445639498	fluit	algemeen_dagblad	Netherlands	popular	klank/noun;trommel/noun;	<small>De zich herhalende klanken van trommels en</small> De zich herhalende <u>klanken</u><sup>3.638</sup> van <u>trommels</u><sup>6.711</sup> en <span class='target'>fluiten</span> geven hun kracht om de heilige plek te bereiken . <small>geven hun kracht om de heilige plek te bereiken .</small>
fluit/noun/algemeen_dagblad_19991113_88/227	-16.7725581991594	-113.955922517966	fluit	algemeen_dagblad	Netherlands	popular	scheidsrechter/noun;	<small>meestal niet eens de actie gezien waar de scheidsrechter voor</small> meestal niet eens de actie gezien waar de <u>scheidsrechter</u><sup>3.722</sup> voor <span class='target'>fluit</span> , maar wel de (re)actie van trainer en spelers . <small>, maar wel de (re)actie van trainer en spelers .</small>
fluit/noun/algemeen_dagblad_19991118_54/48	-62.9457329331519	102.550904738648	fluit	algemeen_dagblad	Netherlands	popular	concert/noun;harp/noun	<small>Verder ook Mozarts concert voor</small> Verder ook Mozarts <u>concert</u><sup>2.2</sup> voor <span class='target'>fluit</span> en <u>harp</u><sup>7.79</sup> en Les éléments uit 1733 van Rebel . <small>en harp en Les éléments uit 1733 van Rebel .</small>
fluit/noun/algemeen_dagblad_19991127_52/876	-10.448738311004	55.7210030318544	fluit	algemeen_dagblad	Netherlands	popular	concert/noun;muzikant/noun;	<small>Vóór een concert stemt een muzikant zijn</small> Vóór een <u>concert</u><sup>2.2</sup> stemt een <u>muzikant</u><sup>2.664</sup> zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19991204_139/1295	73.8646808598834	-169.110203145703	fluit	algemeen_dagblad	Netherlands	popular	hoor/verb;stem/noun;	<small>Ik hoor stemmen en</small> Ik <u>hoor</u><sup>1.375</sup> <u>stemmen</u><sup>1.66</sup> en <span class='target'>fluiten</span> en een gestaag geroezemoes dat ritmisch ondersteund wordt door een <small>en een gestaag geroezemoes dat ritmisch ondersteund wordt door een</small>
fluit/noun/algemeen_dagblad_19991228_15/305	-10.4487787576898	55.7210949357768	fluit	algemeen_dagblad	Netherlands	popular	concert/noun;muzikant/noun;	<small>8 Vóór een concert stemt een muzikant zijn</small> 8 Vóór een <u>concert</u><sup>2.2</sup> stemt een <u>muzikant</u><sup>2.664</sup> zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_20000307_54/164	77.8875483786521	-152.891570759615	fluit	algemeen_dagblad	Netherlands	popular	zing/verb;	<small>In Strands zingt een</small> In Strands <u>zingt</u><sup>2.204</sup> een <span class='target'>fluit</span> als een onvervalste veldleeuwerik . <small>als een onvervalste veldleeuwerik .</small>
fluit/noun/algemeen_dagblad_20000327_64/186	-19.0737491857967	34.2185819633739	fluit	algemeen_dagblad	Netherlands	popular	;bespeel/verb;klink/verb	<small>Nu eens wordt alleen het mondstuk van een</small> Nu eens wordt alleen het mondstuk van een <span class='target'>fluit</span> <u>bespeeld</u><sup>5.133</sup> , dan weer <u>klinkt</u><sup>2.705</sup> wolvengehuil van tuba's met halfingedrukte <small>bespeeld , dan weer klinkt wolvengehuil van tuba's met halfingedrukte</small>
fluit/noun/algemeen_dagblad_20000425_69/50	-17.7372825411918	34.310748909863	fluit	algemeen_dagblad	Netherlands	popular	bespeel/verb;	<small>Australië zijn didgeridoo bespeelde : " Het was een soort</small> Australië zijn didgeridoo <u>bespeelde</u><sup>5.133</sup> : " Het was een soort <span class='target'>fluit</span> zonder gaatjes . <small>zonder gaatjes .</small>
fluit/noun/algemeen_dagblad_20000425_69/65	-48.5898901265737	25.048370617441	fluit	algemeen_dagblad	Netherlands	popular	;klink/verb	<small>Ik vond het wel mooi , maar een echte</small> Ik vond het wel mooi , maar een echte <span class='target'>fluit</span> <u>klinkt</u><sup>2.705</sup> toch mooier . " <small>klinkt toch mooier . "</small>
fluit/noun/algemeen_dagblad_20000517_55/303	-33.0622408712102	58.4576367895415	fluit	algemeen_dagblad	Netherlands	popular	speel/verb;gitaar/noun;	<small>Marieke speelt gitaar en Irene</small> Marieke <u>speelt</u><sup>2.048</sup> <u>gitaar</u><sup>5.255</sup> en Irene <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_20000609_2/101	-42.0639066837835	74.3503933389094	fluit	algemeen_dagblad	Netherlands	popular	trompet/noun;percussie/noun;piano/noun	<small>verzamelde de dj weer een groep jazzmusici op trompet ,</small> verzamelde de dj weer een groep jazzmusici op <u>trompet</u><sup>6.344</sup> , <span class='target'>fluit</span> , <u>percussie</u><sup>6.111</sup> en <u>piano</u><sup>5.575</sup> voor zijn volgende kruisbestuiving . <small>, percussie en piano voor zijn volgende kruisbestuiving .</small>
fluit/noun/algemeen_dagblad_20000609_2/182	-40.7991221623213	78.8232096857663	fluit	algemeen_dagblad	Netherlands	popular	;percussie/noun	<small></small>  <span class='target'>Fluit</span> en <u>percussie</u><sup>6.111</sup> brengen ook een latin-achtige sfeer . <small>en percussie brengen ook een latin-achtige sfeer .</small>
fluit/noun/algemeen_dagblad_20000624_193/117	43.071788894681	-12.0557981456711	fluit	algemeen_dagblad	Netherlands	popular	manier/noun;	<small>Hij viel op door zijn ` mannelijke ' manier van</small> Hij viel op door zijn ` mannelijke ' <u>manier</u><sup>1.752</sup> van <span class='target'>fluiten</span> . <small>.</small>
fluit/noun/algemeen_dagblad_20000720_30/16	-11.1613800799918	19.0660759370581	fluit	algemeen_dagblad	Netherlands	popular	;magisch/adj	<small>Moderne Kunst Arnhem heeft het olieverfschilderij Stilleven met flesjes en</small> Moderne Kunst Arnhem heeft het olieverfschilderij Stilleven met flesjes en <span class='target'>fluit</span> van ( <u>magisch</u><sup>3.578</sup> ) realist Dick Ket ( 1902-1940 ) <small>van ( magisch ) realist Dick Ket ( 1902-1940 )</small>
fluit/noun/algemeen_dagblad_20000826_5/65	42.0692105345358	-12.4521762938507	fluit	algemeen_dagblad	Netherlands	popular	manier/noun;	<small>manier van</small> <u>manier</u><sup>1.752</sup> van <span class='target'>fluiten</span> spreekt een winnaar wel eens aan <small>spreekt een winnaar wel eens aan</small>
