_id	model.x	model.y	lemma	newspaper	country	formality	_cws.model	_ctxt.model
fluit/noun/algemeen_dagblad_19990120_95/604	-15.3245635825426	101.372009351348	fluit	algemeen_dagblad	Netherlands	popular	harp/noun;	<small>ze met het Nationaal Jeugdorkest het Concert voor harp en</small> ze met het Nationaal Jeugdorkest het Concert voor <u>harp</u><sup>7.79</sup> en <span class='target'>fluit</span> van Mozart . <small>van Mozart .</small>
fluit/noun/algemeen_dagblad_19990206_97/220	-14.1589800963116	81.3850344552169	fluit	algemeen_dagblad	Netherlands	popular	combinatie/noun;speel/verb;viool/noun	<small>: een geraffineerde combinatie van Ierse folk - Andrea speelt</small> : een geraffineerde <u>combinatie</u><sup>2.339</sup> van Ierse folk - Andrea <u>speelt</u><sup>2.048</sup> <span class='target'>fluit</span> , en haar zus Sharon <u>viool</u><sup>6.254</sup> - en gladde popmuziek <small>, en haar zus Sharon viool - en gladde popmuziek</small>
fluit/noun/algemeen_dagblad_19990416_134/349	-11.1378427541193	44.7522300002028	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;	<small>Om 6 over 3 blies Ray Lewis gisteren op zijn</small> Om 6 over 3 <u>blies</u><sup>5.115</sup> Ray Lewis gisteren op zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19990416_134/84	-12.400218617538	43.9257841561977	fluit	algemeen_dagblad	Netherlands	popular	blaas/verb;	<small>Om 6 over 3 blies referee Ray Lewis op zijn</small> Om 6 over 3 <u>blies</u><sup>5.115</sup> referee Ray Lewis op zijn <span class='target'>fluit</span> . <small>.</small>
fluit/noun/algemeen_dagblad_19990422_89/162	-13.8712510367228	90.1866328526677	fluit	algemeen_dagblad	Netherlands	popular	;klarinet/noun	<small>en files , pêle-mêle is met de snelle loopjes van</small> en files , pêle-mêle is met de snelle loopjes van <span class='target'>fluit</span> en <u>klarinet</u><sup>7.839</sup> verwant aan het idioom van Dutilleux ' . <small>en klarinet verwant aan het idioom van Dutilleux ' .</small>
fluit/noun/algemeen_dagblad_19990507_147/141	-13.8535851574258	70.0450815043761	fluit	algemeen_dagblad	Netherlands	popular	combinatie/noun;elektronica/noun	<small>Die combinatie van authentieke</small> Die <u>combinatie</u><sup>2.339</sup> van authentieke <span class='target'>fluit</span> en snaar- en percussie-instrumenten met high tech <u>elektronica</u><sup>4.325</sup> maken One <small>en snaar- en percussie-instrumenten met high tech elektronica maken One</small>
fluit/noun/algemeen_dagblad_19990510_157/64	-15.5435433044118	100.727727265919	fluit	algemeen_dagblad	Netherlands	popular	;harp/noun;orkest/noun	<small>met een licht werk , Mozarts Concert in C voor</small> met een licht werk , Mozarts Concert in C voor <span class='target'>fluit</span> , <u>harp</u><sup>7.79</sup> en <u>orkest</u><sup>3.667</sup> . <small>, harp en orkest .</small>
fluit/noun/algemeen_dagblad_19990527_137/696	-10.0261071247943	86.9394021988269	fluit	algemeen_dagblad	Netherlands	popular	;saxofoon/noun;speel/verb	<small>Als kind leerde Jimi Tenor</small> Als kind leerde Jimi Tenor <span class='target'>fluit</span> en <u>saxofoon</u><sup>6.684</sup> <u>spelen</u><sup>2.048</sup> . <small>en saxofoon spelen .</small>
fluit/noun/algemeen_dagblad_19990531_105/178	-43.4295790338508	-42.312008509093	fluit	algemeen_dagblad	Netherlands	popular	;hand/noun	<small>Want Mouidi , die op haar 17e jaar de</small> Want Mouidi , die op haar 17e jaar de <span class='target'>fluit</span> ter <u>hand</u><sup>1.482</sup> nam , heeft in Zwitserland al meer records <small>ter hand nam , heeft in Zwitserland al meer records</small>
fluit/noun/algemeen_dagblad_19990601_125/176	-19.0696962009133	90.3871614419187	fluit	algemeen_dagblad	Netherlands	popular	sonate/noun;hobo/noun;klarinet/noun;trio/noun	<small>Het programmaboekje vermeldt de sonates voor</small> Het programmaboekje vermeldt de <u>sonates</u><sup>5.807</sup> voor <span class='target'>fluit</span> , <u>hobo</u><sup>8.251</sup> en <u>klarinet</u><sup>7.839</sup> , het <u>trio</u><sup>3.313</sup> voor <u>hobo</u><sup>8.251</sup> , <small>, hobo en klarinet , het trio voor hobo ,</small>
